modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Solo Lematizacion,None,"{'0': {'precision': 0.8744897959183674, 'recall': 0.994199535962877, 'f1-score': 0.9305103148751357, 'support': 862.0}, '1': {'precision': 0.75, 'recall': 0.10869565217391304, 'f1-score': 0.189873417721519, 'support': 138.0}, 'accuracy': 0.872, 'macro avg': {'precision': 0.8122448979591836, 'recall': 0.551447594068395, 'f1-score': 0.5601918662983274, 'support': 1000.0}, 'weighted avg': {'precision': 0.8573102040816327, 'recall': 0.872, 'f1-score': 0.8283024230679366, 'support': 1000.0}}",0.872,0.5601918662983274,0.8122448979591836,0.551447594068395,0.8283024230679366,"[0.5471014492753623, 0.5084901748601827, 0.5291163082718568, 0.554097840842656, 0.5613866338347889]",0.5400384814169693,0.0190676911391841
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'0': {'precision': 0.8744897959183674, 'recall': 0.994199535962877, 'f1-score': 0.9305103148751357, 'support': 862.0}, '1': {'precision': 0.75, 'recall': 0.10869565217391304, 'f1-score': 0.189873417721519, 'support': 138.0}, 'accuracy': 0.872, 'macro avg': {'precision': 0.8122448979591836, 'recall': 0.551447594068395, 'f1-score': 0.5601918662983274, 'support': 1000.0}, 'weighted avg': {'precision': 0.8573102040816327, 'recall': 0.872, 'f1-score': 0.8283024230679366, 'support': 1000.0}}",0.872,0.5601918662983274,0.8122448979591836,0.551447594068395,0.8283024230679366,"[0.5569720817638867, 0.5279307631785995, 0.5498441768304413, 0.5713265063110264, 0.6315272318921954]",0.5675201519952299,0.034935415270524024
naive_bayes,binaria,"(1, 1)",{},Solo Lematizacion,None,"{'0': {'precision': 0.873855544252289, 'recall': 0.9965197215777262, 'f1-score': 0.9311653116531166, 'support': 862.0}, '1': {'precision': 0.8235294117647058, 'recall': 0.10144927536231885, 'f1-score': 0.18064516129032257, 'support': 138.0}, 'accuracy': 0.873, 'macro avg': {'precision': 0.8486924780084975, 'recall': 0.5489844984700225, 'f1-score': 0.5559052364717195, 'support': 1000.0}, 'weighted avg': {'precision': 0.8669105379690024, 'recall': 0.873, 'f1-score': 0.8275935309030509, 'support': 1000.0}}",0.873,0.5559052364717195,0.8486924780084975,0.5489844984700225,0.8275935309030509,"[0.5173442159786532, 0.5094833224329627, 0.5395867937173996, 0.4989770782013277, 0.5471014492753623]",0.522498571921141,0.018146810570993377
naive_bayes,frecuencia,"(2, 2)",{},Solo Lematizacion,None,"{'0': {'precision': 0.8697863682604272, 'recall': 0.9918793503480279, 'f1-score': 0.926829268292683, 'support': 862.0}, '1': {'precision': 0.5882352941176471, 'recall': 0.07246376811594203, 'f1-score': 0.12903225806451613, 'support': 138.0}, 'accuracy': 0.865, 'macro avg': {'precision': 0.7290108311890371, 'recall': 0.532171559231985, 'f1-score': 0.5279307631785995, 'support': 1000.0}, 'weighted avg': {'precision': 0.8309323200287235, 'recall': 0.865, 'f1-score': 0.8167332808811959, 'support': 1000.0}}",0.865,0.5279307631785995,0.7290108311890371,0.532171559231985,0.8167332808811959,"[0.5162747326397995, 0.5291163082718568, 0.5512428242561995, 0.5184256681100685, 0.5681879784280921]",0.5366495023412033,0.02005806025394043
naive_bayes,frecuencia,"(3, 3)",{},Solo Lematizacion,None,"{'0': {'precision': 0.8690721649484536, 'recall': 0.9779582366589327, 'f1-score': 0.9203056768558951, 'support': 862.0}, '1': {'precision': 0.36666666666666664, 'recall': 0.07971014492753623, 'f1-score': 0.13095238095238096, 'support': 138.0}, 'accuracy': 0.854, 'macro avg': {'precision': 0.6178694158075602, 'recall': 0.5288341907932345, 'f1-score': 0.5256290289041381, 'support': 1000.0}, 'weighted avg': {'precision': 0.7997402061855671, 'recall': 0.854, 'f1-score': 0.8113749220212102, 'support': 1000.0}}",0.854,0.5256290289041381,0.6178694158075602,0.5288341907932345,0.8113749220212102,"[0.5592569319680328, 0.544427571391533, 0.533316048742546, 0.5256013336508693, 0.6122903944945236]",0.5549784560495009,0.03081090723212762
naive_bayes,binaria,"(3, 3)",{},Solo Lematizacion,None,"{'0': {'precision': 0.8690721649484536, 'recall': 0.9779582366589327, 'f1-score': 0.9203056768558951, 'support': 862.0}, '1': {'precision': 0.36666666666666664, 'recall': 0.07971014492753623, 'f1-score': 0.13095238095238096, 'support': 138.0}, 'accuracy': 0.854, 'macro avg': {'precision': 0.6178694158075602, 'recall': 0.5288341907932345, 'f1-score': 0.5256290289041381, 'support': 1000.0}, 'weighted avg': {'precision': 0.7997402061855671, 'recall': 0.854, 'f1-score': 0.8113749220212102, 'support': 1000.0}}",0.854,0.5256290289041381,0.6178694158075602,0.5288341907932345,0.8113749220212102,"[0.5592569319680328, 0.544427571391533, 0.5345402884354759, 0.5244565217391304, 0.6177996177996178]",0.5560961862667579,0.03292168116047009
logistic_regression,frecuencia,"(2, 2)",{'max_iter': 200},Solo Lematizacion,None,"{'0': {'precision': 0.8691683569979716, 'recall': 0.994199535962877, 'f1-score': 0.9274891774891775, 'support': 862.0}, '1': {'precision': 0.6428571428571429, 'recall': 0.06521739130434782, 'f1-score': 0.11842105263157894, 'support': 138.0}, 'accuracy': 0.866, 'macro avg': {'precision': 0.7560127499275573, 'recall': 0.5297084636336125, 'f1-score': 0.5229551150603782, 'support': 1000.0}, 'weighted avg': {'precision': 0.8379374094465373, 'recall': 0.866, 'f1-score': 0.8158377762588288, 'support': 1000.0}}",0.866,0.5229551150603782,0.7560127499275573,0.5297084636336125,0.8158377762588288,"[0.5357789855072463, 0.5084901748601827, 0.5075075075075075, 0.4864515051563609, 0.5195195195195195]",0.5115495385101634,0.016162893910879862
logistic_regression,binaria,"(2, 2)",{'max_iter': 200},Solo Lematizacion,None,"{'0': {'precision': 0.8691683569979716, 'recall': 0.994199535962877, 'f1-score': 0.9274891774891775, 'support': 862.0}, '1': {'precision': 0.6428571428571429, 'recall': 0.06521739130434782, 'f1-score': 0.11842105263157894, 'support': 138.0}, 'accuracy': 0.866, 'macro avg': {'precision': 0.7560127499275573, 'recall': 0.5297084636336125, 'f1-score': 0.5229551150603782, 'support': 1000.0}, 'weighted avg': {'precision': 0.8379374094465373, 'recall': 0.866, 'f1-score': 0.8158377762588288, 'support': 1000.0}}",0.866,0.5229551150603782,0.7560127499275573,0.5297084636336125,0.8158377762588288,"[0.5383017198260936, 0.5084901748601827, 0.4954954954954955, 0.4739259321113941, 0.5408884005650605]",0.5114203445716453,0.025530344055562915
svc,tfidf,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'0': {'precision': 0.8691683569979716, 'recall': 0.994199535962877, 'f1-score': 0.9274891774891775, 'support': 862.0}, '1': {'precision': 0.6428571428571429, 'recall': 0.06521739130434782, 'f1-score': 0.11842105263157894, 'support': 138.0}, 'accuracy': 0.866, 'macro avg': {'precision': 0.7560127499275573, 'recall': 0.5297084636336125, 'f1-score': 0.5229551150603782, 'support': 1000.0}, 'weighted avg': {'precision': 0.8379374094465373, 'recall': 0.866, 'f1-score': 0.8158377762588288, 'support': 1000.0}}",0.866,0.5229551150603782,0.7560127499275573,0.5297084636336125,0.8158377762588288,"[0.5471014492753623, 0.5315315315315315, 0.5184256681100685, 0.5195195195195195, 0.5303163923542643]",0.5293789121581491,0.010361294702258462
random_forest,tfidf,"(2, 2)",{'n_estimators': 100},Solo Lematizacion,None,"{'0': {'precision': 0.8691683569979716, 'recall': 0.994199535962877, 'f1-score': 0.9274891774891775, 'support': 862.0}, '1': {'precision': 0.6428571428571429, 'recall': 0.06521739130434782, 'f1-score': 0.11842105263157894, 'support': 138.0}, 'accuracy': 0.866, 'macro avg': {'precision': 0.7560127499275573, 'recall': 0.5297084636336125, 'f1-score': 0.5229551150603782, 'support': 1000.0}, 'weighted avg': {'precision': 0.8379374094465373, 'recall': 0.866, 'f1-score': 0.8158377762588288, 'support': 1000.0}}",0.866,0.5229551150603782,0.7560127499275573,0.5297084636336125,0.8158377762588288,"[0.5512428242561995, 0.5613866338347889, 0.5315315315315315, 0.5206262199253633, 0.5370326268159086]",0.5403639672727583,0.014415203497394207
